timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-13 17:52:15.298,76,11,26,3,2
2026-04-13 17:52:15.298,76,12,25,19,18
2026-04-13 17:52:15.298,76,12,31,1,0
2026-04-13 17:52:15.298,76,13,22,1,0
2026-04-13 17:52:15.298,76,13,27,2,1
2026-04-13 17:52:15.298,76,14,36,1,0
2026-04-13 17:52:15.298,76,14,39,5,4
2026-04-13 17:52:15.298,76,15,26,1,0
2026-04-13 17:52:15.298,76,16,28,1,0
2026-04-13 17:52:15.298,76,16,35,3,2
2026-04-13 17:52:15.298,76,17,24,2,1
2026-04-13 17:52:15.298,76,17,39,3,2
2026-04-13 17:52:15.298,76,18,22,2,1
2026-04-13 17:52:15.298,76,18,33,1,0
2026-04-13 17:52:15.298,76,19,32,2,1
2026-04-13 17:52:15.298,76,19,38,4,3
2026-04-13 17:52:15.298,76,20,30,1,0
2026-04-13 17:52:15.298,76,21,28,2,1
2026-04-13 17:52:15.298,76,23,38,1,0
2026-04-13 17:52:15.298,76,24,29,1,0
2026-04-13 17:52:15.298,76,34,36,6,5
2026-04-13 17:52:15.331,77,0,27,1,0
2026-04-13 17:52:15.331,77,0,30,1,0
2026-04-13 17:52:15.331,77,1,34,1,0
2026-04-13 17:52:15.331,77,2,29,2,1
2026-04-13 17:52:15.331,77,3,31,1,0
2026-04-13 17:52:15.331,77,4,6,1,0
2026-04-13 17:52:15.331,77,4,35,2,1
2026-04-13 17:52:15.331,77,5,25,4,3
2026-04-13 17:52:15.331,77,5,37,1,0
2026-04-13 17:52:15.331,77,6,23,4,3
2026-04-13 17:52:15.331,77,7,33,1,0
2026-04-13 17:52:15.331,77,7,37,4,3
2026-04-13 17:52:15.331,77,8,15,1,0
2026-04-13 17:52:15.331,77,9,19,6,5
2026-04-13 17:52:15.331,77,9,32,1,0
2026-04-13 17:52:15.331,77,10,21,2,1
2026-04-13 17:52:15.331,77,11,20,2,1
2026-04-13 17:52:15.331,77,11,26,1,0
2026-04-13 17:52:15.331,77,12,25,21,20
2026-04-13 17:52:15.331,77,12,31,1,0
2026-04-13 17:52:15.331,77,13,22,1,0
2026-04-13 17:52:15.331,77,13,27,3,2
2026-04-13 17:52:15.331,77,14,36,1,0
2026-04-13 17:52:15.331,77,14,39,8,7
2026-04-13 17:52:15.331,77,15,26,1,0
2026-04-13 17:52:15.331,77,16,28,3,2
2026-04-13 17:52:15.331,77,16,35,1,0
2026-04-13 17:52:15.331,77,17,24,1,0
