timestamp,sample_idx,s1,s2,deg_s1,deg_s2,err32,s1x_raw,s1y_raw,node_count,conn,rm,iso,iso_id,ins,ins_id,fpga_ts_cycles,iter_us
2026-04-13 17:53:02.369,94,9,27,2,2,1314,-335,-941,40,1,0,0,39,0,39,113020105,546.704
2026-04-13 17:53:02.369,95,11,26,2,2,2271,-22,439,40,1,0,0,39,0,39,113034866,546.704
2026-04-13 17:53:02.369,96,6,11,2,2,4950,-217,336,40,1,0,0,39,0,39,113049627,546.704
2026-04-13 17:53:02.369,97,3,17,2,2,2051,-752,594,40,1,0,0,39,0,39,113064388,546.704
2026-04-13 17:53:02.369,98,11,26,2,2,2379,-11,431,40,1,0,0,39,0,39,113079149,546.704
2026-04-13 17:53:02.369,99,36,1,2,2,322,85,-518,40,1,0,0,39,0,39,113093910,546.704
2026-04-13 17:53:02.386,0,8,32,2,2,5270,927,83,40,1,0,0,39,0,39,113221026,4708.000
2026-04-13 17:53:02.386,1,2,31,2,2,2485,328,-272,40,1,0,0,39,0,39,113235787,546.704
2026-04-13 17:53:02.386,2,10,16,2,2,5360,587,685,40,1,0,0,39,0,39,113250548,546.704
2026-04-13 17:53:02.386,3,11,6,2,2,2715,-33,420,40,1,0,0,39,0,39,113265309,546.704
2026-04-13 17:53:02.386,4,37,30,2,2,1275,-850,381,40,1,0,0,39,0,39,113280070,546.704
2026-04-13 17:53:02.386,5,19,2,2,2,6441,418,-72,40,1,0,0,39,0,39,113294831,546.704
2026-04-13 17:53:02.386,6,15,21,2,2,262,-946,-155,40,1,0,0,39,0,39,113309592,546.704
2026-04-13 17:53:02.386,7,25,7,2,2,3913,-367,-232,40,1,0,0,39,0,39,113324353,546.704
2026-04-13 17:53:02.386,8,33,19,2,2,806,433,132,40,1,0,0,39,0,39,113339114,546.704
2026-04-13 17:53:02.386,9,24,10,2,2,603,367,895,40,1,0,0,39,0,39,113353875,546.704
2026-04-13 17:53:02.386,10,10,24,2,2,6480,558,718,40,1,0,0,39,0,39,113368636,546.704
2026-04-13 17:53:02.386,11,4,23,2,2,918,735,-630,40,1,0,0,39,0,39,113383397,546.704
2026-04-13 17:53:02.386,12,0,18,2,2,695,-736,-617,40,1,0,0,39,0,39,113398158,546.704
2026-04-13 17:53:02.386,13,36,1,2,2,330,79,-518,40,1,0,0,39,0,39,113412919,546.704
2026-04-13 17:53:02.386,14,31,2,2,2,1312,194,-349,40,1,0,0,39,0,39,113427680,546.704
2026-04-13 17:53:02.386,15,4,38,2,2,1023,729,-643,40,1,0,0,39,0,39,113442441,546.704
2026-04-13 17:53:02.386,16,25,20,2,2,4147,-372,-255,40,1,0,0,39,0,39,113457202,546.704
2026-04-13 17:53:02.386,17,35,12,2,2,1639,-163,921,40,1,0,0,39,0,39,113471963,546.704
2026-04-13 17:53:02.386,18,5,15,2,2,1590,-951,-341,40,1,0,0,39,0,39,113486724,546.704
2026-04-13 17:53:02.386,19,30,21,2,2,1303,-929,204,40,1,0,0,39,0,39,113501485,546.704
2026-04-13 17:53:02.386,20,2,31,2,2,2446,326,-260,40,1,0,0,39,0,39,113516246,546.704
2026-04-13 17:53:02.386,21,22,34,2,2,1655,121,-981,40,1,0,0,39,0,39,113531007,546.704
2026-04-13 17:53:02.386,22,32,8,2,2,3181,977,-167,40,1,0,0,39,0,39,113545768,546.704
2026-04-13 17:53:02.386,23,12,35,2,2,1647,-316,891,40,1,0,0,39,0,39,113560529,546.704
2026-04-13 17:53:02.386,24,32,23,2,2,3657,973,-194,40,1,0,0,39,0,39,113575290,546.704
2026-04-13 17:53:02.386,25,20,1,2,2,1647,-208,-434,40,1,0,0,39,0,39,113590051,546.704
2026-04-13 17:53:02.402,26,2,19,2,2,2838,349,-251,40,1,0,0,39,0,39,113604812,546.704
2026-04-13 17:53:02.402,27,7,25,2,2,4536,-414,-42,40,1,0,0,39,0,39,113619573,546.704
2026-04-13 17:53:02.402,28,14,26,2,2,2216,296,243,40,1,0,0,39,0,39,113634334,546.704
2026-04-13 17:53:02.402,29,6,11,2,2,4858,-205,359,40,1,0,0,39,0,39,113649095,546.704
2026-04-13 17:53:02.402,30,7,25,2,2,4939,-438,-66,40,1,0,0,39,0,39,113663856,546.704
2026-04-13 17:53:02.402,31,34,9,2,2,2095,-117,-946,40,1,0,0,39,0,39,113678617,546.704
2026-04-13 17:53:02.402,32,16,8,2,2,2519,800,440,40,1,0,0,39,0,39,113693378,546.704
2026-04-13 17:53:02.402,33,18,0,2,2,262,-781,-515,40,1,0,0,39,0,39,113708139,546.704
